%    k     x_k    y_k
% --------------------
     1     23     29
     2     34     27
     3     44     27
     4     52     37
     5     52     56
     6     59     65
     7     77     59
     8    101     54
     9    125     66
    10    137     78
    11    147     87
    12    164    122
    13    158    157
    14    140    172
    15    121    181
    16    101    182
    17     85    177
    18     71    167
    19     59    151
    20     53    128
    21     58    104
    22     68     89
    23     83     78
    24    105     70
    25    125     73
    26    141     83
    27    153     97
    28    159    116
    29    158    133
    30    155    139
    31    142    136
    32    110    122
    33    105    121
    34    103    124
    35    106    131
    36    125    150
    37    148    177
    38    157    188
    39    156    192
    40    153    193
    41    145    188
    42    133    190
    43    132    195
    44    141    200
    45    153    205
    46    164    212
    47    175    212
    48    170    207
    49    160    198
    50    160    194
    51    161    188
    52    180    154
    53    183    152
    54    187    153
    55    219    162
    56    222    159
    57    224    155
    58    222    152
    59    219    155
    60    214    161
    61    210    162
    62    190    157
    63    190    149
    64    184    143
    65    176    142
    66    171    147
    67    170    156
    68    175    160
    69    181    162
    70    186    159
    71    189    161
    72    191    166
    73    203    176
    74    237    208
    75    259    232
    76    258    237
    77    255    236
    78    231    226
    79    206    215
    80    180    201
    81    168    195
    82    167    189
    83    172    187
    84    179    193
    85    203    218
    86    241    236
    87    254    241
    88    255    244
    89    253    248
    90    250    255
    91    248    258
    92    252    258
    93    259    258
    94    262    260
    95    262    265
    96    257    298
    97    253    311
    98    251    317
    99    248    316
   100    249    311
   101    259    299
   102    259    295
   103    247    285
   104    244    285
   105    241    287
   106    237    294
   107    230    295
   108    222    293
   109    221    289
   110    229    291
   111    237    297
   112    241    295
   113    247    278
   114    255    262
   115    260    257
   116    259    255
   117    257    253
   118    255    251
   119    257    247
   120    293    177
   121    297    174
   122    296    179
   123    282    212
   124    281    220
   125    288    222
   126    321    220
   127    344    206
   128    356    182
   129    354    153
   130    337    126
   131    319    117
   132    294    115
   133    269    124
   134    253    142
   135    247    169
   136    253    196
   137    269    212
   138    290    218
   139    311    215
   140    332    208
   141    347    191
   142    350    167
   143    348    145
   144    346    138
   145    350    136
   146    359    144
   147    371    163
   148    379    170
   149    397    168
   150    410    164
